order_id,order_time,product_name,product_category,product_ip,order_amount,payment_method,payment_source,customer_id,promotion_id,promotion_name,discount_amount
ORD20240302007,2024-03-02 12:00:00,草莓奶昔,奶茶系列,迪士尼,35.00,支付宝,线上,CUST032,PROMO004,迪士尼联名,5.00
ORD20240302008,2024-03-02 12:30:00,美式咖啡,咖啡饮品,自营,18.00,银行卡,线下,CUST033,,,0.00
ORD20240302009,2024-03-02 13:00:00,焦糖玛奇朵,咖啡饮品,自营,30.00,微信,线上,CUST034,PROMO001,新品首发,3.00
ORD20240302010,2024-03-02 13:30:00,柠檬红茶,茶饮系列,自营,20.00,微信,线上,CUST035,PROMO003,下午茶套餐,2.00
ORD20240302011,2024-03-02 14:00:00,原味奶茶,奶茶系列,自营,22.00,支付宝,线上,CUST036,,,0.00
ORD20240302012,2024-03-02 14:30:00,经典招牌拿铁,咖啡饮品,自营,25.00,微信,线上,CUST037,PROMO002,会员日,2.50
ORD20240302013,2024-03-02 15:00:00,芒果西米露,茶饮系列,自营,24.00,微信,线上,CUST038,PROMO003,下午茶套餐,2.40
ORD20240302014,2024-03-02 15:30:00,提拉米苏,甜品系列,自营,28.00,现金,线下,CUST039,,,0.00
ORD20240302015,2024-03-02 16:00:00,澳白咖啡,咖啡饮品,自营,28.00,支付宝,线上,CUST040,PROMO001,新品首发,2.80
ORD20240302016,2024-03-02 16:30:00,巧克力圣代,甜品系列,自营,22.00,微信,线上,CUST041,PROMO005,限时折扣,2.20
ORD20240302017,2024-03-02 17:00:00,蜜桃乌龙,茶饮系列,自营,22.00,银行卡,线下,CUST042,,,0.00
ORD20240302018,2024-03-02 17:30:00,蓝莓松饼,甜品系列,自营,18.00,微信,线上,CUST043,PROMO003,下午茶套餐,1.80
ORD20240302019,2024-03-02 18:00:00,美式咖啡,咖啡饮品,自营,18.00,微信,线上,CUST044,PROMO005,限时折扣,1.80
ORD20240302020,2024-03-02 18:30:00,芋圆奶茶,奶茶系列,自营,24.00,支付宝,线上,CUST045,PROMO002,会员日,2.40
ORD20240302021,2024-03-02 19:00:00,焦糖玛奇朵,咖啡饮品,自营,30.00,微信,线上,CUST046,,,0.00
ORD20240302022,2024-03-02 19:30:00,经典招牌拿铁,咖啡饮品,自营,25.00,现金,线下,CUST047,PROMO003,下午茶套餐,2.50
ORD20240302023,2024-03-02 20:00:00,柠檬红茶,茶饮系列,自营,20.00,微信,线上,CUST048,PROMO005,限时折扣,2.00
ORD20240302024,2024-03-02 20:30:00,澳白咖啡,咖啡饮品,自营,28.00,支付宝,线上,CUST049,,,0.00
ORD20240302025,2024-03-02 21:00:00,原味奶茶,奶茶系列,自营,22.00,微信,线上,CUST050,PROMO001,新品首发,2.20
